id,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory,tags
"6015","Mary Jane","Megadeth","Megadeth Vault; Thrash Metal","So Far, So Good... So What!","remera","Megadeth Archive; Megadeth Singles; So Far, So Good... So What!","-","58","catalog","Singles","Megadeth; Megadeth Vault; Thrash Metal; So Far, So Good... So What!; remera; Megadeth Archive; Megadeth Singles"
"1065","RIDE THE LIGHTNING BY MEGADETH","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Megadeth Singles","-","58","archive","Singles","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Megadeth Singles"
"245","Dogs of Chernobyl","Megadeth","Megadeth Vault; Thrash Metal","The Sick, the Dying... and the Dead!","remera","Megadeth Archive; Megadeth Singles; The Sick, the Dying... and the Dead!","-","58","catalog","Singles","Megadeth; Megadeth Vault; Thrash Metal; The Sick, the Dying... and the Dead!; remera; Megadeth Archive; Megadeth Singles"
"2801","Dave 1992 V1","Megadeth","Megadeth Vault; Thrash Metal","Countdown to Extinction","remera","Dave Mustaine Spotlight; Megadeth Archive; Countdown to Extinction","-","60","catalog","Dave Mustaine","Megadeth; Megadeth Vault; Thrash Metal; Countdown to Extinction; remera; Megadeth Archive; Dave Mustaine Spotlight"
"2802","Dave 90s RIP Live","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","remera","Rust in Peace Era; Post Show; Dave Mustaine Spotlight; Megadeth Archive; Rust in Peace","-","60","catalog","Dave Mustaine","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; remera; Megadeth Archive; Dave Mustaine Spotlight"
"2806","Dave Fuck You","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Dave Mustaine Spotlight; Megadeth Archive","-","60","catalog","Dave Mustaine","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Dave Mustaine Spotlight"
"2811","Dave Angel of Deth","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Dave Mustaine Spotlight; Megadeth Archive","-","60","catalog","Dave Mustaine","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Dave Mustaine Spotlight"
"2814","Dave So Far Era","Megadeth","Megadeth Vault; Thrash Metal","So Far, So Good... So What!","remera","Dave Mustaine Spotlight; Post Show; Megadeth Archive; So Far, So Good... So What!","-","60","catalog","Dave Mustaine","Megadeth; Megadeth Vault; Thrash Metal; So Far, So Good... So What!; remera; Megadeth Archive; Dave Mustaine Spotlight"
"2815","Dave Vic RIP","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","remera","Dave Mustaine Spotlight; Megadeth Archive; Rust in Peace","-","60","catalog","Dave Mustaine","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; remera; Megadeth Archive; Dave Mustaine Spotlight"
"6020","Aguante Megadeth","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Tour Argentina 2026; Edicion Argentina; Post Show; Dave Mustaine Spotlight; Megadeth Archive","-","60","catalog","Dave Mustaine","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Dave Mustaine Spotlight"
"29","Marty Friedman","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Megadeth Members","-","56","catalog","Musician","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Megadeth Members"
"30","Nick Menza","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Megadeth Members","-","56","catalog","Musician","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Megadeth Members"
"31","Formaciones","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Megadeth Members","-","56","catalog","Musician","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Megadeth Members"
"39","VIC GAUCHO ARGENTINO","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Tour Argentina 2026; Edicion Argentina; Megadeth Archive; Tour Archive","Argentina 2026","62","catalog","Tour","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive; Argentina 2026"
"40","Tour Argentina","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Tour Argentina 2026; Edicion Argentina; Post Show; Megadeth Archive; Tour Archive","Argentina 2026; Tour Archive","62","catalog","Tour","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive; Argentina 2026"
"300","Marty & Dave","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Tour Live Set; Megadeth Archive; Tour Archive","-","62","catalog","Tour","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"301","Peace Sells Live","Megadeth","Megadeth Vault; Thrash Metal","Peace Sells... but Who's Buying?","remera","Tour Live Set; Post Show; Megadeth Archive; Tour Archive; Peace Sells... but Who's Buying?","-","62","catalog","Tour","Megadeth; Megadeth Vault; Thrash Metal; Peace Sells... but Who's Buying?; remera; Megadeth Archive; Tour Archive"
"320","Vic Tour 2026","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Tour Argentina 2026; Post Show; Megadeth Archive; Tour Archive","Tour Archive","62","catalog","Tour","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"304","Vic Rattlehead - My Last Words","Megadeth","Megadeth Vault; Thrash Metal","Peace Sells... but Who's Buying?","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead; Peace Sells... but Who's Buying?","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Peace Sells... but Who's Buying?; remera; Megadeth Archive; Vic Rattlehead"
"314","KIMB 40 Edition","Megadeth","Megadeth Vault; Thrash Metal","Killing Is My Business... and Business Is Good!","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead; Killing Is My Business... and Business Is Good!","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Killing Is My Business... and Business Is Good!; remera; Megadeth Archive; Vic Rattlehead"
"419","Vic Editions","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"420","Militar Rattlehead","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"423","Nuclear Vic Bomb","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"424","Vic The Arsenal of Megadeth","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"425","Vic Explosion","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"426","Vic Face Black","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"427","Vic Punk","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"428","Vic Radioactivo","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"429","Vic Symphony Music","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"430","Vic Militar","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"400","Dorso Tour BN","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"401","Dorso Tour Oficial","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"402","Dorso Tour v1","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"403","Dorso Tour v2","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"404","Guitarra Arg Dorso Blanca","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"405","Vic Tour 2026","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","62","catalog","Tour","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"406","Dorso Vic Tour","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"407","Dorso Vic Tour BLK","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"5019","Dorso Dave Argentina","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Argentina 2026; Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive; Argentina 2026"
"5020","Dorso Tour","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"5021","Dorso Arg Tour","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive; Tour Archive","Tour Archive","34","archive","Dorsales","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Tour Archive"
"49","Bifrost Argentina","-","Custom Archive","-","remera","Custom Archive; Revision Manual","-","30","archive","Personalizados","Custom Archive; remera; Revision Manual"
"56","Calavera Guitar","-","Custom Archive","-","remera","Custom Archive; Revision Manual","-","30","archive","Personalizados","Custom Archive; remera; Revision Manual"
"5121","Diego Maradona","-","Custom Archive","-","remera","Custom Archive; Revision Manual","-","30","archive","Personalizados","Custom Archive; remera; Revision Manual"
"311","Guitarrista Blues","-","Custom Archive","-","remera","Custom Archive; Revision Manual","-","30","archive","Personalizados","Custom Archive; remera; Revision Manual"
"422","M'era Luna","-","Custom Archive","-","remera","Custom Archive; Revision Manual","-","30","archive","Personalizados","Custom Archive; remera; Revision Manual"
"50","Slinka Mascota","-","Custom Archive","-","remera","Custom Archive; Revision Manual","-","30","archive","Personalizados","Custom Archive; remera; Revision Manual"
"421","Stranger Things Original","-","Custom Archive","-","remera","Custom Archive; Revision Manual","-","30","archive","Personalizados","Custom Archive; remera; Revision Manual"
"1064","Anatomy of Vic","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"5124","Countdown Vic","Megadeth","Megadeth Vault; Thrash Metal","Countdown to Extinction","remera","Countdown Legacy; Post Show; Vic Legacy; Megadeth Archive; Vic Rattlehead; Countdown to Extinction","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Countdown to Extinction; remera; Megadeth Archive; Vic Rattlehead"
"1066","Vic Kimb Vintage Real","Megadeth","Megadeth Vault; Thrash Metal","Killing Is My Business... and Business Is Good!","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; Killing Is My Business... and Business Is Good!","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Killing Is My Business... and Business Is Good!; remera; Megadeth Archive; Vic Rattlehead"
"5023","Vic Terminator","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"5022","The Sick, The Dying... and The Dead","Megadeth","Megadeth Vault; Thrash Metal","The Sick, the Dying... and the Dead!","remera","Megadeth Archive; Megadeth Singles; The Sick, the Dying... and the Dead!","-","58","catalog","Singles","Megadeth; Megadeth Vault; Thrash Metal; The Sick, the Dying... and the Dead!; remera; Megadeth Archive; Megadeth Singles"
"5024","Vic The Sick Trono","Megadeth","Megadeth Vault; Thrash Metal","The Sick, the Dying... and the Dead!","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; The Sick, the Dying... and the Dead!","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; The Sick, the Dying... and the Dead!; remera; Megadeth Archive; Vic Rattlehead"
"5025","Vic Rust Muro","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; Rust in Peace","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; remera; Megadeth Archive; Vic Rattlehead"
"5026","Vic Helicopter","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"5027","Vic Bad Omen","Megadeth","Megadeth Vault; Thrash Metal","Peace Sells... but Who's Buying?","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; Peace Sells... but Who's Buying?","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Peace Sells... but Who's Buying?; remera; Megadeth Archive; Vic Rattlehead"
"5028","Vic Set the World Afire","Megadeth","Megadeth Vault; Thrash Metal","So Far, So Good... So What!","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; So Far, So Good... So What!","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; So Far, So Good... So What!; remera; Megadeth Archive; Vic Rattlehead"
"5029","Vic Sells","Megadeth","Megadeth Vault; Thrash Metal","Peace Sells... but Who's Buying?","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; Peace Sells... but Who's Buying?","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Peace Sells... but Who's Buying?; remera; Megadeth Archive; Vic Rattlehead"
"5030","Vic Symphony","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"5050","Dave and Vic Live","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"5051","Vic Peace 25","Megadeth","Megadeth Vault; Thrash Metal","Peace Sells... but Who's Buying?","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; Peace Sells... but Who's Buying?","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Peace Sells... but Who's Buying?; remera; Megadeth Archive; Vic Rattlehead"
"5053","Hangar 18","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","remera","Megadeth Archive; Megadeth Singles; Rust in Peace","-","58","catalog","Singles","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; remera; Megadeth Archive; Megadeth Singles"
"6031","Lucretia","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","remera","Megadeth Archive; Megadeth Singles; Rust in Peace","-","58","catalog","Singles","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; remera; Megadeth Archive; Megadeth Singles"
"5054","Vic Black Friday","Megadeth","Megadeth Vault; Thrash Metal","Peace Sells... but Who's Buying?","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; Peace Sells... but Who's Buying?","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; Peace Sells... but Who's Buying?; remera; Megadeth Archive; Vic Rattlehead"
"6023","Vic & Friends â€” FMD Edition","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","-","remera","Vic Legacy; Post Show; Megadeth Archive; Vic Rattlehead; FMD Editions","-","45","catalog","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; remera; Megadeth Archive; Vic Rattlehead"
"6024","Vic Demons","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Vic Legacy; Megadeth Archive; Vic Rattlehead","-","45","archive","VicRattlehead","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive; Vic Rattlehead"
"6022","Fast... Loud... and Rude! â€” Skull Splitting Metal","Megadeth","Megadeth Vault; Thrash Metal","-","remera","Megadeth Archive","-","55","catalog","Orígenes","Megadeth; Megadeth Vault; Thrash Metal; remera; Megadeth Archive"
